Type of vehicle,Name,Suited for,Age group of people buy,Body type,Fuel type,Price (in lakh),Keywords
Car,Vitara Brezza,"Personal,Public","21,32,45,57,68",Suv,Diesel,12,"durable,economical"
Loader,JCB,"Personal,Public","30,32,34",Compact Wheel,"CNG,Petrol",36,"Comfort Driving, Best,in,class Cabin, Long Lasting Structure"
Truck,Tata Ace,"Personal,Public","25,28,31,36",Half Body,"Petrol,Diesel",4.36,"High milege,cheap,low maintainence,durable,economical"
Auto,Mahindra Alfa ,"Personal,Public","21,32,45,57,68",Standard,"CNG,Petrol",1.52,"Less polution, low fuel consumption"
Loader,JCB,"Personal,Public","30,32,34",Medium wheel,Diesel,49,"Ease Of Serviceability From Ground Level,Easy Low Cost Maintenance ,Easy Loading On Dump Trucks"
Truck,Tata Ace,"Personal,Public","25,28,31,36",Half Body,Diesel,4.2,"High milege,cheap,low maintainence,durable,economical"
Auto,Mahindra Alfa,"Personal,Public","21,32,45,57,68",Standard,"CNG,Petrol",1.52,"High milege,cheap,low maintainence,durable,economical"
Loader,Schwing Stetter,"Personal,Public","30,32,34",Compact Wheel,Diesel,16," Strong and reliable power train, Z , bar linkage for greater digging power"
Truck,Tata  ,"Personal,Public","25,28,31,36",Full Body,Diesel,13.9,"High milege,cheap,low maintainence,durable,economical"
Auto,Mahindra Alfa,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",1.52,"High milege,cheap,low maintainence,durable,economical"
Loader,Mahindra,"Personal,Public","30,32,34",Medium wheel,Diesel,54, Turbocharged Intercooled Diesel Engine
Truck,Tata,"Personal,Public","25,28,31,36",Box body,Diesel,27,"Less polution, low fuel consumption"
Auto,Piaggio Ape,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",1.75,"High milege,cheap,low maintainence,durable,economical"
Car,Mercedes_Benz_A_160_Classic_Klima,Public,"21,32,45,57,68",bus,"Benzin,Petrol",66,"durable,economical"
Loader,SEM,"Personal,Public","30,32,34",Dozer,Diesel,89," Efficient,Reliable, comfortable operation"
Truck,PIAGGIO APE,"Personal,Public","25,28,31,36",Deck body,Diesel,1.4,"Single cylinder,Water Cooled,DI, Disc Brakes"
Auto,Piaggio Ape,"Personal,Public","25,28,31,36",Standard,"LPG,Petrol",1.8,"High milege,cheap,low maintainence,durable,economical"
Car,Fiat_Punto_12,"Personal,Public","21,32,45,57,68",kleinwagen,"Benzin,Petrol",16,"durable,economical"
Loader,CAT,"Personal,Public","30,32,34",Large Wheel,Diesel,63,"Cheap, less maintainance"
Truck,Eicher,"Personal,Public","25,28,31,36",Passenger & load,Diesel,2.4,"Greaves four,stroke, single,cylinder, Drum and Hydraulic brakes"
Auto,Bajaj RE,"Personal,Public","21,32,45,57,68",Standard,"CNG,Petrol",2,"High milege,cheap,low maintainence,durable,economical"
Loader,CAT,"Personal,Public","30,32,34",Compact Wheel,Diesel,36,"Durable, High performance"
Truck,Piaggio Ape,"Personal,Public","21,32,45,57,68",Deck body,Diesel,1.5,"Single cylinder,Water Cooled,DI, Front Suspension
Helical spring with hydarullic telescopic shock absorber"
Auto,Bajaj RE,"Personal,Public","25,28,31,36",Standard,"LPG,Petrol",1.87,"durable,economical"
Car,Renault_Kangoo_19_Diesel,Public,"25,28,31,36",Bus,Diesel,9,"durable,economical"
Loader,CASE,"Personal,Public","30,32,34",Dozer,Diesel,37," Turbine Type Pre,Filter,Frontal Transmission Protection"
Truck,Mahindra,"Personal,Public","21,32,45,57,68",Deck body,Diesel,2.95,"Single cylinder,Water Cooled, Rigid"
Auto,Bajaj RE,"Personal,Public","25,28,31,36",Standard,"LPG,Petrol",2,"High milege,cheap,low maintainence,durable,economical"
Loader,CASE,"Personal,Public","30,32,34",Dozer,Diesel,110," Automatic Spring Applied Parking Brake ,Dual Path Hydrostatic Transmission"
Truck,Lohia,"Personal,Public","21,32,45,57,68",Box body,Diesel,1.73,"Single Cylinder Four Stroke, Direct Injection, Diesel Engine"
Auto,Bajaj RE,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",1.75,"High milege,cheap,low maintainence,durable,economical"
Loader,Mahindra,"Personal,Public","21,32,45,57,68",,Diesel,68," Low maintenance cost, Efficient, Fine built"
Truck,Mahindra,"Personal,Public","25,28,31,36",Deck body,Diesel,3.4,"mSingle cylinder,Direct Injection"
Auto,Atul Gemini,"Personal,Public","25,28,31,36",Standard,"LPG,Petrol",1.75,"High milege,cheap,low maintainence,durable,economical"
Car,Honda_HRV_reserviert,"Personal,Public","30,32,34",Suv,"Benzin,Petrol",7,"High milege,cheap,low maintainence,durable,economical"
